LA_GROUP_KEY,ESTABLISHMENT_COUNT,GRADABLE_COUNT,SCORED_COUNT,RATING_0_COUNT,RATING_1_COUNT,RATING_2_COUNT,RATING_3_COUNT,RATING_4_COUNT,RATING_5_COUNT,FAIL_COUNT,PASS_COUNT,FLAGGED_COUNT,NOT_FLAGGED_COUNT,AVG_RISK_SCORE,AVG_INCOME_DECILE
Barking and Dagenham,1459,1196,1168,4,71,27,156,272,666,530,666,954,214,0.4584815052,2.190925
Barnet,2859,2366,2187,3,46,85,218,581,1433,933,1433,1631,556,0.4301003548,4.157750
Bexley,1770,1606,1411,0,21,35,138,273,1139,467,1139,800,611,0.3289066801,5.501063
Brent,2493,2221,2267,9,28,76,120,341,1647,574,1647,916,1351,0.2693112675,2.714160
Bromley,2475,2169,2024,4,14,15,162,294,1680,489,1680,255,1769,0.22338303,6.258893
Camden,4260,3349,4083,51,90,120,460,653,1975,1374,1975,3473,610,0.4260699635,4.893216
City of London Corporation,1840,1719,1819,2,14,32,40,127,1504,215,1504,0,1819,0.1269854404,9.357339
Croydon,3158,2819,2465,2,44,85,176,699,1813,1006,1813,1652,813,0.3773156516,3.607708
Ealing,3733,3097,3106,26,145,225,294,612,1795,1302,1795,2496,610,0.4549797207,3.214102
Enfield,2393,2120,2091,10,97,99,232,428,1254,866,1254,1603,488,0.430824719,2.659493
Greenwich,2391,2118,1875,2,16,35,84,302,1679,439,1679,310,1565,0.2316302717,4.497600
Hackney,2448,2090,2258,1,28,73,179,373,1436,654,1436,1104,1154,0.3220762473,3.806909
Hammersmith and Fulham,2016,1815,1827,0,18,25,125,240,1407,408,1407,187,1640,0.2332654827,4.777230
Haringey,1940,1832,1713,3,12,40,92,262,1423,409,1423,390,1323,0.2429322369,3.189142
Harrow,1903,1561,1514,6,25,65,157,354,954,607,954,1151,363,0.4193225609,3.958388
Havering,2021,1711,1568,6,40,23,89,332,1221,490,1221,987,581,0.3301448378,5.032526
Hillingdon,2229,2012,2023,15,98,48,206,366,1279,733,1279,1478,545,0.3890949547,4.048937
Hounslow,2337,1851,1935,3,13,39,129,325,1342,509,1342,886,1049,0.2943975602,3.864599
Islington,2591,2411,2262,1,47,84,254,475,1550,861,1550,1619,643,0.3742446972,4.008842
Kensington and Chelsea,1998,1834,1735,0,8,8,50,156,1612,222,1612,0,1735,0.1280639993,7.274928
Kingston-Upon-Thames,1430,1266,1212,5,17,25,106,186,927,339,927,527,685,0.2889585699,5.853135
Lambeth,2644,2401,2307,5,74,70,237,548,1467,934,1467,1734,573,0.402638135,4.679237
Lewisham,2482,1997,2020,4,27,36,231,447,1252,745,1252,1544,476,0.4007829761,3.763861
Merton,1566,1278,1185,1,13,12,37,177,1038,240,1038,40,1145,0.2070784934,5.820253
Newham,2659,2421,2370,32,210,100,372,520,1187,1234,1187,2077,293,0.5392795731,2.588186
Redbridge,2158,1798,1676,4,88,32,206,265,1203,595,1203,1185,491,0.3648313028,3.621122
Richmond-Upon-Thames,1578,1388,1339,1,20,12,96,227,1032,356,1032,299,1040,0.2675212107,8.044810
Southwark,3299,2980,3068,3,16,54,229,538,2140,840,2140,1132,1936,0.2920982063,4.509778
Sutton,1329,1172,1115,3,17,20,110,147,875,297,875,454,661,0.2753647863,5.575785
Tower Hamlets,3171,2860,2971,6,62,90,175,465,2062,798,2062,922,2049,0.2919590407,3.483676
Waltham Forest,1978,1857,1849,65,124,28,266,431,943,914,943,1564,285,0.5125863855,3.438615
Wandsworth,2897,2418,2554,7,50,29,147,305,1880,538,1880,275,2279,0.227211813,6.003915
Westminster,5712,5269,5465,16,83,250,395,837,3688,1581,3688,1746,3719,0.3072187349,5.976395
