BT_GROUP_KEY,ESTABLISHMENT_COUNT,GRADABLE_COUNT,SCORED_COUNT,RATING_0_COUNT,RATING_1_COUNT,RATING_2_COUNT,RATING_3_COUNT,RATING_4_COUNT,RATING_5_COUNT,FAIL_COUNT,PASS_COUNT,FLAGGED_COUNT,NOT_FLAGGED_COUNT,AVG_RISK_SCORE,AVG_INCOME_DECILE
Caring Premises,4660,4281,4324,5,29,46,93,525,3583,698,3583,0,4324,0.1644130965,4.588344
Distributors/Transporters,666,428,553,2,6,6,20,56,338,90,338,48,505,0.205651805,4.450271
Farmers/growers,31,23,15,0,0,0,2,2,19,4,19,0,15,0.2109698698,4.800000
Hotel/bed & breakfast/guest house,969,943,952,4,9,13,37,114,766,177,766,26,926,0.1886546171,5.444328
Importers/Exporters,275,123,201,0,4,1,4,17,97,26,97,34,167,0.2354657448,4.542289
Manufacturers/packers,1125,846,822,2,16,21,46,133,628,218,628,225,597,0.2697269571,3.990268
Mobile caterer,2591,1927,933,5,31,24,89,301,1477,450,1477,394,539,0.322432792,4.058950
Other catering premises,7987,6019,3088,10,56,66,232,974,4681,1338,4681,772,2316,0.2515690656,4.238018
Pub/bar/nightclub,3860,3707,3806,8,49,83,211,585,2771,936,2771,850,2956,0.2520201072,5.204151
Restaurant/Cafe/Canteen,27188,25175,25663,117,561,826,2340,4478,16853,8322,16853,12553,13110,0.3393447895,5.004053
Retailers - other,16665,13519,15430,88,624,512,1567,3046,7682,5837,7682,12957,2473,0.4490240092,4.082502
Retailers - supermarkets/hypermarkets,2321,2259,2281,3,19,35,68,247,1887,372,1887,0,2281,0.1660023238,4.163963
School/college/university,3487,3226,3418,2,9,22,57,257,2879,347,2879,0,3418,0.1085069709,4.519310
Takeaway/sandwich shop,9392,8526,8976,54,263,342,1202,1823,4842,3684,4842,7532,1444,0.4410764565,4.174242
