FHRS_ID,BUSINESS_NAME,BUSINESS_TYPE,LOCAL_AUTHORITY_NAME,LATITUDE,LONGITUDE,RATING_VALUE,INCOME_DECILE,PREDICTED_RATING,RISK_SCORE
592,Hollybank Residential Home,Caring Premises,Croydon,51.31862,-0.10442,AwaitingInspection,4,pass,0.179
593,Acorn Lodge Residential Care Home,Caring Premises,Croydon,51.31787,-0.10739,4,10,pass,0.117
635,Selsdon Baptist Church Hall,Other catering premises,Croydon,51.34495,-0.06041,5,6,pass,0.254
636,Addington House,Caring Premises,Croydon,51.33976,-0.06924,5,8,pass,0.135
640,The Sir Julian Huxley,Pub/bar/nightclub,Croydon,51.34366,-0.06193,5,6,pass,0.272
663,Harvester At The Cricketers,Restaurant/Cafe/Canteen,Croydon,51.35862,-0.03005,5,6,fail,0.366
664,St Mary's Church Hall,Other catering premises,Croydon,51.3601,-0.02701,2,6,pass,0.254
674,East Croydon United Reformed Church,Other catering premises,Croydon,51.37421,-0.08954,Exempt,3,pass,0.304
688,Fennies Under 5s Day Nursery,Caring Premises,Croydon,51.37481,-0.07627,2,9,pass,0.126
738,Arena Food City,Retailers - other,Croydon,51.39173,-0.0613,4,5,fail,0.464
892,Mind In Croydon,Caring Premises,Croydon,51.37399,-0.09209,4,3,pass,0.191
904,St Chads Primary School,School/college/university,Croydon,51.39447,-0.08342,5,2,pass,0.139
1028,New Addington Baptist Church,Other catering premises,Croydon,51.33916,-0.00785,5,2,pass,0.322
1259,Lakeside Nursing Home,Caring Premises,Croydon,51.40708,-0.08026,4,5,pass,0.167
1330,Purley Baptist Church,Other catering premises,Croydon,51.33912,-0.11839,5,4,pass,0.287
1397,South Croydon Sports Club,Restaurant/Cafe/Canteen,Croydon,51.36291,-0.08637,5,4,fail,0.405
1413,Abbeyfield Sanderstead Society,Caring Premises,Croydon,51.34794,-0.08958,5,10,pass,0.117
1414,Beechwood House Care Home,Caring Premises,Croydon,51.34794,-0.08958,4,10,pass,0.117
1420,Morris & Co,Retailers - other,Croydon,51.39782,-0.10082,4,3,fail,0.506
1422,Harrison Catering Services Ltd At Ecclesbourne Primary,School/college/university,Croydon,51.3911,-0.10368,5,2,pass,0.139
1443,Best One,Retailers - other,Croydon,51.42245,-0.10531,4,5,fail,0.464
1444,Allen's Montessori Nursery,Caring Premises,Croydon,51.4024,-0.10181,4,2,pass,0.205
1446,Achieve Together,Caring Premises,Croydon,51.4024,-0.10181,5,2,pass,0.205
1447,Ann's Sandwich Bar,Restaurant/Cafe/Canteen,Croydon,51.4024,-0.10181,5,2,fail,0.446
1448,Morleys Fried Chicken,Restaurant/Cafe/Canteen,Croydon,51.40396,-0.09995,5,2,fail,0.446
1449,Allsorts Newsagents,Retailers - other,Croydon,51.40396,-0.09995,4,2,fail,0.527
1474,Tudor House,Caring Premises,Croydon,51.3649,-0.08848,3,4,pass,0.179
1515,Jean Garwood House,Caring Premises,Croydon,51.36503,-0.10262,4,2,pass,0.205
1516,The Garwood Foundation,Caring Premises,Croydon,51.36474,-0.10327,5,2,pass,0.205
1555,Purley View Nursing Home,Restaurant/Cafe/Canteen,Croydon,51.33743,-0.11849,4,5,fail,0.385
1557,Brighton Road- Consensus Support Services Ltd,Caring Premises,Croydon,51.33396,-0.12148,5,6,pass,0.156
1565,Friday Lunch Club,Other catering premises,Croydon,51.33957,-0.11569,5,3,pass,0.304
1567,Purley United Reformed Church,Restaurant/Cafe/Canteen,Croydon,51.33957,-0.11569,Exempt,3,fail,0.425
1574,Pizza Express,Restaurant/Cafe/Canteen,Croydon,51.33912,-0.11655,5,3,fail,0.425
1590,Tesco Superstore,Retailers - supermarkets/hypermarkets,Croydon,51.39849,-0.10045,5,3,pass,0.209
1595,Roberts Greengrocer,Retailers - other,Croydon,51.39849,-0.10045,5,3,fail,0.506
1596,Iceland,Retailers - supermarkets/hypermarkets,Croydon,51.39849,-0.10045,4,3,pass,0.209
1600,Age UK,Other catering premises,Croydon,51.39735,-0.10343,5,3,pass,0.304
1601,Kingfishers Day Nursery,Caring Premises,Croydon,51.39604,-0.10676,5,3,pass,0.191
1606,Thornton Lodge,Caring Premises,Croydon,51.39604,-0.10676,5,3,pass,0.191
1610,Stonebridge Lodge Hotel,Hotel/bed & breakfast/guest house,Croydon,51.39549,-0.10965,5,3,pass,0.25
1659,Portland Wines,Retailers - other,Croydon,51.38889,-0.05304,5,1,fail,0.547
1680,Flamingo Kebab House,Takeaway/sandwich shop,Croydon,51.32245,-0.13581,5,4,fail,0.482
1681,Waitrose,Retailers - supermarkets/hypermarkets,Croydon,51.32198,-0.1372,5,4,pass,0.195
1683,Favorite Chicken And Ribs,Takeaway/sandwich shop,Croydon,51.32139,-0.13793,4,4,fail,0.482
1689,Thirstywork,Retailers - other,Croydon,51.32001,-0.13871,4,4,fail,0.485
1695,The Full Monty Cafe,Restaurant/Cafe/Canteen,Croydon,51.3105,-0.14419,5,8,fail,0.328
1698,"Salvation Army, Croydon Citadel",Retailers - other,Croydon,51.37359,-0.10725,5,2,fail,0.527
1716,Calley Down Respite Care Unit,Caring Premises,Croydon,51.34362,-0.00842,5,2,pass,0.205
1723,Tree Tops Tamarind Care,Restaurant/Cafe/Canteen,Croydon,51.36154,-0.08551,5,8,fail,0.328
1725,Unicorn House,Caring Premises,Croydon,51.36236,-0.08447,5,8,pass,0.135
1761,Morland Road Londis Store,Retailers - other,Croydon,51.38384,-0.07753,4,4,fail,0.485
1785,Morrisons Daily,Retailers - other,Croydon,51.3421,-0.01577,5,2,fail,0.527
1786,Morleys,Takeaway/sandwich shop,Croydon,51.3421,-0.01577,5,2,fail,0.524
